protein,complete_train_p_value,total_freq,p-value_orig_vs_random,original,original,original,original,original,original,original,original,permuted,permuted,permuted,permuted,permuted,permuted,permuted,permuted
P59998_3_ARPC4      ,0.23269455415969    ,1167                ,0.476087344441214   ,255                 ,197                 ,0                   ,60                  ,652                 ,0                   ,3                   ,0                   ,897                 ,16                  ,2                   ,0                   ,0                   ,0                   ,0                   ,15                  
P60174_TPI1         ,0.580791324891675   ,28                  ,0.165199926439324   ,0                   ,0                   ,3                   ,0                   ,0                   ,0                   ,25                  ,0                   ,81                  ,110                 ,0                   ,0                   ,295                 ,542                 ,0                   ,0                   
P61158_ACTR3        ,0.196613495373299   ,629                 ,0.956284952863831   ,167                 ,42                  ,0                   ,231                 ,189                 ,0                   ,0                   ,0                   ,1145                ,78                  ,2                   ,74                  ,0                   ,0                   ,0                   ,136                 
P61160_ACTR2        ,0.257115463255009   ,201                 ,0.784022658299928   ,10                  ,130                 ,0                   ,4                   ,8                   ,31                  ,18                  ,0                   ,1754                ,1264                ,0                   ,0                   ,0                   ,0                   ,0                   ,533                 
P61586_RHOA         ,0.0784344137309436  ,4718                ,0.0172872158825007  ,443                 ,2317                ,239                 ,1019                ,252                 ,208                 ,93                  ,147                 ,170                 ,1336                ,0                   ,0                   ,0                   ,0                   ,15                  ,14                  
P61626_LYZ          ,0.579002255865902   ,113                 ,0.333537441453265   ,0                   ,0                   ,0                   ,0                   ,113                 ,0                   ,0                   ,0                   ,0                   ,0                   ,31                  ,0                   ,0                   ,432                 ,31                  ,0                   
P61769_B2M          ,0.134909070035792   ,2087                ,0.0130618452007295  ,390                 ,23                  ,102                 ,141                 ,172                 ,3                   ,1254                ,2                   ,0                   ,2                   ,0                   ,0                   ,0                   ,0                   ,1299                ,0                   
P62258_YWHAE        ,0.0583530959200882  ,5681                ,0.00180143586954273 ,424                 ,435                 ,561                 ,2635                ,463                 ,353                 ,469                 ,341                 ,417                 ,152                 ,0                   ,254                 ,0                   ,0                   ,0                   ,296                 
P62328_TMSB4X       ,0.445993856726944   ,46                  ,0.432802483745193   ,24                  ,0                   ,0                   ,2                   ,0                   ,4                   ,16                  ,0                   ,0                   ,1590                ,0                   ,0                   ,0                   ,3                   ,0                   ,0                   
P62805_HIST1H4A     ,0.149304063988411   ,574                 ,0.124998482350882   ,14                  ,1                   ,23                  ,178                 ,262                 ,2                   ,48                  ,46                  ,0                   ,0                   ,21                  ,81                  ,68                  ,0                   ,11                  ,0                   
P62937_PPIA         ,0.075289579570955   ,3044                ,0.00723152132573399 ,371                 ,196                 ,170                 ,1743                ,55                  ,123                 ,293                 ,93                  ,597                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
P63261_ACTG1        ,0.226053329590747   ,868                 ,0.0112746152015496  ,164                 ,201                 ,22                  ,232                 ,216                 ,14                  ,8                   ,11                  ,1139                ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2                   
P63313_TMSB10       ,0.0577945833068577  ,5162                ,0.0229215547738114  ,802                 ,286                 ,1150                ,363                 ,1691                ,419                 ,225                 ,226                 ,81                  ,0                   ,0                   ,751                 ,489                 ,0                   ,0                   ,9                   
P68032_ACTC1        ,0.096632452013331   ,1983                ,0.00337318669084465 ,1174                ,296                 ,47                  ,75                  ,83                  ,130                 ,9                   ,169                 ,4                   ,2                   ,0                   ,95                  ,0                   ,0                   ,0                   ,0                   
P68371_TUBB4B       ,0.148062898971374   ,1360                ,0.182694471214948   ,51                  ,85                  ,7                   ,168                 ,83                  ,921                 ,45                  ,0                   ,267                 ,38                  ,256                 ,0                   ,0                   ,0                   ,0                   ,3                   
P68871_HBB          ,0.486840474074743   ,276                 ,1                   ,0                   ,0                   ,199                 ,0                   ,76                  ,1                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,109                 ,12                  ,31                  
P69905_HBA1         ,0.360555749518931   ,367                 ,0.557672607434147   ,0                   ,0                   ,236                 ,23                  ,86                  ,10                  ,9                   ,3                   ,0                   ,0                   ,38                  ,2                   ,0                   ,129                 ,19                  ,6                   
P78417_GSTO1        ,0.598287048571919   ,60                  ,0.0764479298304189  ,5                   ,0                   ,0                   ,35                  ,0                   ,20                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
X6R8F3_LCN2         ,0.0775576110861188  ,5038                ,0.000778133468635348,2834                ,221                 ,354                 ,392                 ,356                 ,223                 ,392                 ,266                 ,0                   ,149                 ,0                   ,0                   ,204                 ,0                   ,0                   ,6                   
P80511_S100A12      ,0.566978049624467   ,157                 ,0.949094251818098   ,0                   ,0                   ,0                   ,56                  ,0                   ,0                   ,101                 ,0                   ,0                   ,0                   ,0                   ,46                  ,0                   ,0                   ,32                  ,7                   
P80748              ,0.151986207058932   ,2452                ,0.0122413863708279  ,62                  ,303                 ,12                  ,10                  ,165                 ,571                 ,937                 ,392                 ,0                   ,0                   ,83                  ,0                   ,14                  ,0                   ,0                   ,140                 
Q01469_FABP5        ,0.538766534888093   ,5                   ,0.110465130411439   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,5                   ,0                   ,0                   ,0                   ,4                   ,66                  ,635                 ,130                 ,0                   
Q01518_CAP1         ,0.170641924025503   ,1627                ,0.0172872158825007  ,834                 ,337                 ,73                  ,187                 ,92                  ,46                  ,25                  ,33                  ,472                 ,40                  ,0                   ,0                   ,0                   ,0                   ,1                   ,13                  
Q02413_DSG1         ,0.060458077165997   ,4345                ,0.00125114613728818 ,717                 ,30                  ,679                 ,468                 ,166                 ,230                 ,1699                ,356                 ,0                   ,0                   ,0                   ,0                   ,2                   ,4                   ,1                   ,112                 
Q02487_DSC2         ,0.0244470059456103  ,8006                ,0.00090685675099235 ,1118                ,364                 ,878                 ,545                 ,1159                ,546                 ,2744                ,652                 ,0                   ,0                   ,0                   ,81                  ,282                 ,335                 ,3                   ,6                   
Q07654_TFF3         ,0.23365301281158    ,859                 ,0.5009042191737     ,11                  ,0                   ,348                 ,447                 ,6                   ,0                   ,47                  ,0                   ,604                 ,0                   ,0                   ,8                   ,0                   ,0                   ,0                   ,100                 
Q08188_TGM3         ,0.195557443900809   ,555                 ,0.0287450965074476  ,17                  ,168                 ,178                 ,43                  ,95                  ,12                  ,30                  ,12                  ,126                 ,0                   ,0                   ,0                   ,1                   ,50                  ,0                   ,0                   
Q08380_LGALS3BP     ,0.557486215213303   ,26                  ,0.565563097938799   ,0                   ,0                   ,0                   ,15                  ,0                   ,0                   ,11                  ,0                   ,0                   ,0                   ,0                   ,19                  ,0                   ,0                   ,47                  ,3                   
Q13404_UBE2V1       ,0.776006504161894   ,0                   ,NaN                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
Q14508_WFDC2        ,0.176182921391654   ,1508                ,0.369492921209817   ,0                   ,823                 ,6                   ,2                   ,643                 ,0                   ,34                  ,0                   ,25                  ,0                   ,0                   ,0                   ,0                   ,1                   ,924                 ,0                   
Q14847_LASP1        ,0.756869837227294   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,29                  ,0                   ,15                  ,0                   ,0                   ,3                   ,0                   ,0                   
Q14974_KPNB1        ,0.225101649120326   ,1075                ,0.0621472840217712  ,63                  ,438                 ,0                   ,225                 ,302                 ,30                  ,17                  ,0                   ,0                   ,113                 ,0                   ,5                   ,0                   ,0                   ,0                   ,17                  
Q14CN2_CLCA4        ,0.206538960386238   ,1310                ,0.627500806111435   ,7                   ,6                   ,70                  ,774                 ,0                   ,64                  ,389                 ,0                   ,0                   ,232                 ,0                   ,45                  ,0                   ,500                 ,150                 ,0                   
A0A087WV23_SH3BGRL3 ,0.458895065752036   ,100                 ,1                   ,0                   ,0                   ,0                   ,0                   ,1                   ,0                   ,94                  ,5                   ,0                   ,0                   ,3                   ,0                   ,14                  ,7                   ,0                   ,0                   
P21333_FLNA         ,0.0261443466194314  ,8208                ,0.00238066871807138 ,3112                ,512                 ,1282                ,541                 ,1457                ,580                 ,348                 ,376                 ,370                 ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,484                 
Q68D86_CCDC102B     ,0.857355474172771   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2                   ,0                   ,0                   ,63                  ,58                  ,0                   
Q6P5S2_C6orf58      ,0.43259421444257    ,47                  ,1                   ,11                  ,10                  ,0                   ,0                   ,0                   ,0                   ,26                  ,0                   ,0                   ,24                  ,0                   ,0                   ,193                 ,0                   ,2                   ,0                   
Q8N4F0_BPIFB2       ,0.322802283984233   ,348                 ,0.862186694400762   ,8                   ,0                   ,2                   ,254                 ,0                   ,0                   ,84                  ,0                   ,26                  ,0                   ,0                   ,0                   ,0                   ,0                   ,62                  ,273                 
Q8TAX7_MUC7         ,0.847422488262515   ,0                   ,0.0324742023051656  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,841                 ,0                   ,32                  ,0                   ,0                   ,355                 ,58                  
Q8TDL5_BPIFB1       ,0.621794302853623   ,10                  ,0.0561971119187938  ,0                   ,0                   ,0                   ,3                   ,0                   ,0                   ,7                   ,0                   ,244                 ,19                  ,0                   ,0                   ,8                   ,0                   ,116                 ,28                  
Q96DA0_ZG16B        ,0.0701168976773574  ,3226                ,0.00085989691015073 ,543                 ,183                 ,446                 ,641                 ,115                 ,534                 ,120                 ,644                 ,14                  ,0                   ,0                   ,2                   ,67                  ,19                  ,0                   ,0                   
Q96DR5_BPIFA2       ,0.754045826768506   ,21                  ,0.0847449524226576  ,0                   ,0                   ,0                   ,0                   ,21                  ,0                   ,0                   ,0                   ,3069                ,0                   ,0                   ,137                 ,0                   ,0                   ,1913                ,3136                
Q99536_VAT1         ,0.333664226610548   ,401                 ,0.286158963534654   ,205                 ,91                  ,11                  ,11                  ,80                  ,0                   ,0                   ,3                   ,686                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,308                 
Q99879_HIST1H2BM    ,0.0165861310424743  ,13566               ,0.00085989691015073 ,1660                ,1149                ,1107                ,2748                ,3136                ,633                 ,1918                ,1215                ,392                 ,0                   ,0                   ,424                 ,2                   ,0                   ,0                   ,52                  
Q9BRA2_TXNDC17      ,0.269979143694214   ,546                 ,0.685443482677522   ,2                   ,0                   ,137                 ,0                   ,0                   ,0                   ,351                 ,56                  ,3                   ,0                   ,0                   ,0                   ,40                  ,582                 ,0                   ,0                   
Q9BRF8_CPPED1       ,0.943486255897845   ,0                   ,0.0324742023051656  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20                  ,22                  ,0                   ,674                 ,117                 ,0                   
Q9HC84_MUC5B        ,0.437757657382452   ,148                 ,0.148010694023782   ,0                   ,0                   ,0                   ,101                 ,0                   ,0                   ,47                  ,0                   ,244                 ,0                   ,0                   ,0                   ,2                   ,16                  ,278                 ,262                 
Q9HD89_RETN         ,0.0918286749238293  ,3865                ,0.0219109698020534  ,2365                ,543                 ,126                 ,203                 ,362                 ,122                 ,73                  ,71                  ,0                   ,243                 ,0                   ,0                   ,0                   ,0                   ,347                 ,53                  
Q9NQ38_3_SPINK5     ,0.00519052747027104 ,20703               ,0.000898912788114092,3073                ,1302                ,3136                ,2672                ,3136                ,2041                ,2699                ,2644                ,1                   ,0                   ,0                   ,118                 ,8                   ,584                 ,27                  ,0                   
Q9UBC9_SPRR3        ,0.247501480608021   ,527                 ,0.561502179678703   ,205                 ,8                   ,16                  ,169                 ,113                 ,8                   ,7                   ,1                   ,186                 ,1                   ,0                   ,150                 ,0                   ,0                   ,16                  ,503                 
Q9UBG3_CRNN         ,0.183747287745061   ,2910                ,0.105772207850753   ,24                  ,64                  ,16                  ,2601                ,0                   ,25                  ,171                 ,9                   ,5                   ,150                 ,0                   ,1031                ,0                   ,0                   ,0                   ,0                   
Q9UBX7_3_KLK11      ,0.75865262352388    ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1244                ,0                   ,0                   ,0                   ,0                   ,0                   ,2530                ,168                 
Q9UGM3_6_DMBT1      ,0.702222286059766   ,15                  ,0.0535024501087161  ,0                   ,0                   ,15                  ,0                   ,0                   ,0                   ,0                   ,0                   ,126                 ,6                   ,0                   ,0                   ,0                   ,180                 ,121                 ,1                   
Q9UIV8_SERPINB13    ,0.0785155982399271  ,4184                ,0.00211752347701703 ,1421                ,98                  ,141                 ,974                 ,100                 ,510                 ,859                 ,81                  ,0                   ,0                   ,0                   ,0                   ,0                   ,124                 ,6                   ,0                   
Q9UKR3_KLK13        ,0.375150190983691   ,249                 ,0.138863797671684   ,70                  ,0                   ,0                   ,35                  ,112                 ,1                   ,17                  ,14                  ,4                   ,0                   ,0                   ,0                   ,0                   ,5                   ,0                   ,93                  
REV__P04280         ,0.0967901561592628  ,2097                ,0.0460530998204479  ,441                 ,56                  ,228                 ,134                 ,30                  ,694                 ,72                  ,442                 ,0                   ,288                 ,0                   ,0                   ,0                   ,0                   ,0                   ,1854                
REV__Q8NDM7         ,0.180352578864532   ,1152                ,0.694598076982301   ,265                 ,0                   ,678                 ,0                   ,54                  ,0                   ,155                 ,0                   ,0                   ,1                   ,0                   ,0                   ,924                 ,5                   ,2                   ,0                   
REV__Q13085_4       ,0.739415996562178   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20                  ,714                 ,0                   ,0                   ,0                   ,64                  ,0                   
V9HW75_NUCB2        ,0.337230908221072   ,237                 ,1                   ,0                   ,0                   ,12                  ,196                 ,29                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,7                   ,3                   ,102                 ,3                   ,0                   
